trial_number,learning_rate,final_score
0,0.04,234.2599283
1,0.011,54.91500686
2,0.036,89.98474336
3,0.042,145.3650296
4,0.023,139.3217774
5,0.016,78.64021944
6,0.031,168.8496703
7,0.025,306.4514813
8,0.097,77.85970234
9,0.07,118.0655938
10,0.091,50.53198304
11,0.083,70.6039096
12,0.057,175.9223911
13,0.013,90.29259538
14,0.059,104.6410806
15,0.009,78.27499316
16,0.087,195.9526717
17,0.094,249.689844
18,0.087,50.77676256
19,0.054,360.3854894
20,0.069,175.7883224
21,0.054,23.37532393
22,1.001,54.12360904
23,0.061,252.4964043
24,1.001,86.46775564
25,0.062,347.2225434
26,1.001,207.568391
27,0.029,80.19884512
28,0.047,200.0006558
29,0.025,183.1547796
30,0.006,43.29633391
31,0.054,66.81992272
32,0.071,161.0835099
33,0.044,63.68439403
34,0.027,108.2197972
35,0.062,181.7584254
36,0.063,50.09338626
37,0.091,46.61035447
38,0.038,210.5233543
39,0.027,228.0306395
40,0.043,170.9166126
41,0.023,226.1396844
42,0.088,373.0677411
43,0.039,371.0201238
44,0.007,82.08581757
45,1.001,123.5897623
46,0.038,58.85935288
47,0.056,158.125541
48,0.021,118.2913755
49,0.082,129.4779284
50,0.049,267.7190187
51,0.068,408.3728226
52,0.048,269.0439163
53,0.025,176.8334173
54,0.094,103.6356465
55,0.078,111.1938491
56,0.023,49.50624063
57,0.049,44.77063455
58,0.001,19.00368615
59,1.001,65.46793989
60,0.059,70.32976074
61,0.092,283.0247031
62,0.061,42.91119791
63,0.058,184.647169
64,0.082,77.17623149
65,1.001,80.01392893
66,0.024,97.76894742
67,0.028,188.9308928
68,0.055,51.6775756
69,0.004,23.35150214
70,0.012,34.69502623
71,0.044,270.3059734
72,0.1,53.01125346
73,0.047,284.3196114
74,0.011,117.4654366
75,0.029,183.5158239
76,0.056,56.26100207
77,0.035,93.7202617
78,0.043,73.46298277
79,0.031,40.17669401
80,0.063,336.5107544
81,0.095,203.0520629
82,0.027,240.6114238
83,1.001,55.55893964
84,0.075,157.7182987
85,0.039,351.9302633
86,0.032,293.815812
87,0.037,163.679888
88,0.091,25.39916217
89,0.035,75.27102512
90,0.077,342.3425262
91,0.087,297.8472979
92,0.039,81.09521119
93,0.01,34.38868321
94,0.031,245.3553185
95,0.069,144.6408028
96,0.028,250.0774854
97,0.072,316.1447245
98,0.088,66.58553284
99,0.089,198.9132803