trial_number,learning_rate,final_score
0,0.0001,228.2
1,0.0234,52.9
2,0.8608,184.7
3,0.9851,196.3
4,0.5901,221.8
5,0.3292,201.2
6,0.6814,215.9
7,0.1778,239.3
8,0.3943,230.3
9,0.0001,233.1
10,0.2202,242.4
11,0.864,182.6
12,0.2556,62.3
13,0.2686,217.7
14,0.1787,227.4
15,0.32,213.6
16,0.538,201.6
17,0.1523,229.1
18,1.0001,255.7
19,0.7637,226.9
20,0.0001,219.7
21,0.2572,205.3
22,0.7833,65.9
23,0.7438,224.3
24,0.0001,250.3
25,0.0001,220
26,1.0001,249.2
27,0.0001,187.3
28,0.0028,216.9
29,0.0001,226.7
30,0.0001,259.2
31,0.0001,231
32,0.0876,75.6
33,0.2173,253
34,1.0001,251.9
35,0.0001,235.5
36,0.1568,252.5
37,0.0176,229.2
38,0.0001,218.2
39,0.5692,237
40,0.3533,198.8
41,0.4483,235
42,0.0001,234.2
43,0.0001,229.3
44,0.6299,220.8
45,0.685,239
46,0.0001,237.7
47,0.6235,253.1
48,0.6747,228.9
49,0.0001,176
50,1.0001,207.5
51,0.0141,215.2
52,0.0359,231.9
53,1.0001,247
54,0.53,234.4
55,0.5814,239.2
56,0.5264,81.5
57,0.5146,205.2
58,0.3328,207.2
59,1.0001,245.2
60,0.0001,223.1
61,0.676,222.4
62,0.8816,215.2
63,0.0001,248.1
64,0.9892,229.1
65,1.0001,265
66,0.851,236.3
67,0.9788,212.6
68,0.165,187.1
69,0.8389,225.6
70,0.652,246.4
71,0.6627,206.6
72,0.0001,230.6
73,0.3244,237.5
74,0.0001,214.8
75,0.7445,232.8
76,0.0001,251.7
77,0.0001,253.5
78,0.0001,251
79,0.9951,236.4
80,0.0001,224.8
81,0.0001,221.2
82,0.0001,231.4
83,0.0001,248.6
84,0.0001,229
85,0.062,204.8
86,0.8743,256.4
87,0.6819,229
88,1.0001,245.4
89,0.4019,234.4
90,0.3517,244.5
91,0.0559,237.7
92,0.2813,216.1
93,0.0001,220.1
94,0.2081,49.1
95,0.2215,208
96,0.4161,218.6
97,0.2743,231.1
98,0.7149,252
99,0.0001,224.3