Raw,,,,Sorted,,
trial_number,learning_rate,final_score,,trial_number,learning_rate,final_score
0,0.0001,236.9,,8,0.2252,251.7
1,0.0001,75.1,,18,0.2859,247.5
2,0.9242,224.9,,16,0.0001,237.3
3,0.2885,207.3,,0,0.0001,236.9
4,0.0001,59.7,,17,0.2227,235.2
5,0.0001,194.2,,19,0.4127,230.5
6,0.5501,222.1,,22,0.9586,226.5
7,0.0001,223.1,,2,0.9242,224.9
8,0.2252,251.7,,10,0.3723,224.4
9,0.0001,220.3,,15,0.0701,223.4
10,0.3723,224.4,,7,0.0001,223.1
11,0.2617,208.4,,12,0.0001,223
12,0.0001,223,,6,0.5501,222.1
13,0.8126,217.8,,9,0.0001,220.3
14,0.0001,217.6,,13,0.8126,217.8
15,0.0701,223.4,,14,0.0001,217.6
16,0.0001,237.3,,11,0.2617,208.4
17,0.2227,235.2,,3,0.2885,207.3
18,0.2859,247.5,,20,0.7239,201.1
19,0.4127,230.5,,5,0.0001,194.2
20,0.7239,201.1,,23,0.8478,173.1
21,0.5616,62.5,,1,0.0001,75.1
22,0.9586,226.5,,21,0.5616,62.5
23,0.8478,173.1,,4,0.0001,59.7
24,1.0001,227.4,,,,